0	1
1	0
0	2
2	0
0	3
3	0
0	4
4	0
0	5
5	0
0	6
6	0
0	7
7	0
0	8
8	0
0	10
10	0
0	11
11	0
0	12
12	0
0	13
13	0
0	17
17	0
0	19
19	0
0	21
21	0
0	31
31	0
1	2
2	1
1	3
3	1
1	7
7	1
1	13
13	1
1	17
17	1
1	19
19	1
1	21
21	1
1	30
30	1
2	3
3	2
2	32
32	2
2	7
7	2
2	8
8	2
2	9
9	2
2	13
13	2
2	27
27	2
2	28
28	2
3	7
7	3
3	12
12	3
3	13
13	3
4	10
10	4
4	6
6	4
5	16
16	5
5	10
10	5
5	6
6	5
6	16
16	6
8	32
32	8
8	30
30	8
8	33
33	8
9	33
33	9
13	33
33	13
14	32
32	14
14	33
33	14
15	32
32	15
15	33
33	15
18	32
32	18
18	33
33	18
19	33
33	19
20	32
32	20
20	33
33	20
22	32
32	22
22	33
33	22
23	32
32	23
23	25
25	23
23	27
27	23
23	29
29	23
23	33
33	23
24	25
25	24
24	27
27	24
24	31
31	24
25	31
31	25
26	33
33	26
26	29
29	26
27	33
33	27
28	33
33	28
28	31
31	28
29	32
32	29
29	33
33	29
30	33
33	30
30	32
32	30
31	33
33	31
31	32
32	31
32	33
33	32
